Gene	BF	Recall	Precision	FDR
LCAT	0.465	0.883	0.946	0.054
PUM1	0.463	0.883	0.946	0.054
HIST1H4E	0.462	0.883	0.946	0.054
SEMA4C	0.459	0.883	0.946	0.054
CCDC41	0.455	0.883	0.946	0.054
DRG1	0.453	0.883	0.946	0.054
DPF1	0.452	0.883	0.946	0.054
RAB15	0.451	0.883	0.946	0.054
RWDD4	0.450	0.883	0.946	0.054
PLXNA2	0.444	0.883	0.946	0.054
SEPT7	0.441	0.883	0.946	0.054
ZRSR1	0.437	0.883	0.946	0.054
DPM3	0.436	0.883	0.946	0.054
ZNRF2	0.434	0.883	0.946	0.054
NR2E1	0.431	0.883	0.945	0.055
ERCC1	0.426	0.883	0.945	0.055
SENP7	0.418	0.883	0.945	0.055
GHITM	0.418	0.883	0.945	0.055
USP21	0.414	0.883	0.945	0.055
ARHGAP5	0.407	0.883	0.945	0.055
UBA7	0.407	0.883	0.945	0.055
RBMX2	0.405	0.883	0.945	0.055
LOH12CR1	0.405	0.883	0.945	0.055
AGAP3	0.403	0.883	0.945	0.055
C6orf223	0.399	0.883	0.945	0.055
NFKBIB	0.398	0.883	0.945	0.055
SEPW1	0.392	0.883	0.945	0.055
SLC38A7	0.389	0.883	0.945	0.055
SH2D4A	0.388	0.883	0.945	0.055
TROAP	0.386	0.883	0.945	0.055
PPP1R18	0.385	0.883	0.945	0.055
CCDC64	0.381	0.883	0.945	0.055
MUC19	0.380	0.883	0.945	0.055
EMC9	0.380	0.883	0.945	0.055
ATPAF2	0.378	0.883	0.945	0.055
RCC2	0.376	0.883	0.945	0.055
C8orf59	0.370	0.883	0.945	0.055
PGRMC1	0.369	0.883	0.945	0.055
WBSCR27	0.367	0.883	0.945	0.055
LHPP	0.362	0.883	0.945	0.055
CSPG5	0.360	0.883	0.945	0.055
TEKT4	0.354	0.883	0.945	0.055
ZNF80	0.338	0.883	0.945	0.055
ELOVL1	0.331	0.883	0.945	0.055
SEPHS2	0.327	0.883	0.945	0.055
IL12A	0.327	0.883	0.945	0.055
ARMCX6	0.327	0.883	0.945	0.055
SOAT2	0.324	0.883	0.945	0.055
CBLL1	0.321	0.883	0.945	0.055
MMP17	0.319	0.883	0.945	0.055
STARD13	0.316	0.883	0.945	0.055
TTLL3	0.315	0.883	0.945	0.055
SHCBP1	0.311	0.883	0.945	0.055
MRPL15	0.308	0.883	0.945	0.055
C10orf90	0.308	0.883	0.945	0.055
CNKSR1	0.308	0.883	0.945	0.055
MTHFD1	0.307	0.883	0.945	0.055
IRF5	0.305	0.883	0.945	0.055
AHCY	0.305	0.884	0.945	0.055
RAB7A	0.305	0.884	0.945	0.055
SPATA13	0.303	0.884	0.945	0.055
RPL10	0.303	0.884	0.945	0.055
CNBD1	0.300	0.884	0.943	0.057
SRD5A3	0.299	0.884	0.943	0.057
DCTN3	0.290	0.884	0.943	0.057
ZNF566	0.284	0.884	0.943	0.057
DDX47	0.279	0.886	0.943	0.057
GDAP1L1	0.275	0.886	0.943	0.057
UBE2L6	0.274	0.886	0.943	0.057
MCTP1	0.272	0.886	0.943	0.057
LRP1	0.269	0.886	0.943	0.057
DES	0.268	0.886	0.943	0.057
CEP57L1	0.267	0.886	0.943	0.057
EMC7	0.266	0.886	0.943	0.057
C15orf53	0.265	0.886	0.943	0.057
SLC26A11	0.264	0.886	0.943	0.057
FBXO6	0.264	0.886	0.943	0.057
ZDHHC18	0.264	0.886	0.943	0.057
FANCI	0.262	0.886	0.943	0.057
LAD1	0.256	0.886	0.943	0.057
ACSM2A	0.248	0.886	0.943	0.057
KIF14	0.243	0.886	0.943	0.057
SLBP	0.243	0.886	0.943	0.057
B4GALT7	0.234	0.886	0.943	0.057
MAP2K2	0.229	0.886	0.943	0.057
STT3B	0.226	0.886	0.943	0.057
COMTD1	0.225	0.886	0.943	0.057
PGAM2	0.224	0.886	0.943	0.057
NUP153	0.223	0.886	0.943	0.057
BBOX1	0.222	0.886	0.943	0.057
SLC6A6	0.221	0.886	0.943	0.057
ESRRA	0.221	0.886	0.943	0.057
PET117	0.215	0.886	0.943	0.057
ACHE	0.215	0.886	0.943	0.057
LST1	0.214	0.886	0.943	0.057
GPR137	0.213	0.886	0.943	0.057
TAF6L	0.213	0.886	0.943	0.057
HSD17B14	0.212	0.886	0.943	0.057
SYNPO2L	0.209	0.886	0.943	0.057
EIF4EBP2	0.206	0.886	0.943	0.057
MORN4	0.198	0.886	0.943	0.057
CLUAP1	0.194	0.886	0.943	0.057
RPL41	0.194	0.886	0.943	0.057
KRTAP16-1	0.193	0.886	0.943	0.057
MRPS10	0.193	0.886	0.943	0.057
AUNIP	0.192	0.886	0.943	0.057
IGSF21	0.187	0.886	0.943	0.057
IRF7	0.186	0.886	0.943	0.057
RPS6	0.182	0.887	0.944	0.056
DHX16	0.180	0.887	0.944	0.056
MYO1C	0.180	0.887	0.944	0.056
ZNF738	0.177	0.887	0.944	0.056
FLNC	0.171	0.887	0.944	0.056
RDH5	0.170	0.887	0.944	0.056
TRADD	0.170	0.887	0.944	0.056
NAP1L4	0.169	0.887	0.944	0.056
EIF4G3	0.169	0.887	0.944	0.056
CD4	0.162	0.887	0.944	0.056
KREMEN2	0.161	0.887	0.944	0.056
COMMD9	0.159	0.887	0.944	0.056
TMEM19	0.153	0.887	0.944	0.056
FANCD2	0.151	0.887	0.944	0.056
UROS	0.150	0.887	0.944	0.056
NDUFA11	0.150	0.887	0.944	0.056
MTX3	0.146	0.887	0.944	0.056
SPATA33	0.146	0.887	0.944	0.056
COG5	0.144	0.887	0.944	0.056
POLR3E	0.140	0.887	0.944	0.056
UBN2	0.138	0.887	0.944	0.056
LRFN3	0.135	0.887	0.944	0.056
STK32B	0.134	0.887	0.944	0.056
CDC5L	0.126	0.889	0.944	0.056
PLAC8	0.125	0.889	0.944	0.056
HM13	0.124	0.889	0.944	0.056
RASSF7	0.120	0.889	0.944	0.056
RAB3IL1	0.116	0.889	0.944	0.056
DNMT1	0.114	0.891	0.944	0.056
NR2F6	0.114	0.891	0.944	0.056
FBXW4	0.113	0.891	0.944	0.056
NOD1	0.112	0.891	0.944	0.056
ZFX	0.110	0.891	0.944	0.056
CDC7	0.108	0.891	0.944	0.056
HARS2	0.108	0.891	0.944	0.056
DNAJC10	0.108	0.891	0.944	0.056
IGF2BP1	0.107	0.891	0.944	0.056
GMNN	0.101	0.891	0.944	0.056
TBCCD1	0.099	0.891	0.944	0.056
CACNB3	0.098	0.891	0.944	0.056
ZHX1-C8ORF76	0.097	0.891	0.944	0.056
NUP93	0.097	0.892	0.944	0.056
INHBE	0.096	0.892	0.944	0.056
TMEM30A	0.095	0.892	0.944	0.056
FTL	0.094	0.892	0.944	0.056
FITM2	0.094	0.892	0.944	0.056
LDHA	0.091	0.892	0.944	0.056
WAS	0.091	0.892	0.944	0.056
DDO	0.087	0.892	0.944	0.056
PAFAH2	0.082	0.892	0.944	0.056
PGRMC2	0.080	0.892	0.944	0.056
HBQ1	0.079	0.892	0.944	0.056
ITFG3	0.076	0.892	0.944	0.056
TCIRG1	0.071	0.892	0.944	0.056
PARP12	0.070	0.892	0.944	0.056
NUDT19	0.067	0.892	0.944	0.056
GON4L	0.066	0.892	0.944	0.056
HAUS5	0.064	0.894	0.944	0.056
RNF166	0.062	0.894	0.944	0.056
SERBP1	0.061	0.894	0.944	0.056
MTX1	0.056	0.894	0.944	0.056
SMPDL3B	0.054	0.894	0.944	0.056
DEFB118	0.053	0.894	0.942	0.058
ZNF597	0.052	0.894	0.942	0.058
RTF1	0.051	0.894	0.942	0.058
ARRDC1	0.051	0.894	0.942	0.058
TTYH2	0.047	0.894	0.942	0.058
GALNT6	0.038	0.894	0.942	0.058
ZEB2	0.035	0.894	0.942	0.058
RPL27A	0.035	0.895	0.942	0.058
KIF2A	0.026	0.895	0.942	0.058
UBE2D4	0.022	0.895	0.942	0.058
ZDHHC5	0.016	0.895	0.942	0.058
AK4	0.013	0.895	0.942	0.058
PHACTR4	0.013	0.895	0.942	0.058
CASKIN2	0.012	0.895	0.942	0.058
RNF113A	0.010	0.895	0.942	0.058
SEC61G	0.009	0.895	0.942	0.058
MFSD5	0.009	0.895	0.942	0.058
KIAA1614	0.006	0.895	0.942	0.058
ZRANB2	0.006	0.895	0.942	0.058
MRPL3	0.005	0.895	0.942	0.058
COA4	0.005	0.895	0.942	0.058
MLLT1	-0.000	0.895	0.942	0.058
RBM4	-0.001	0.895	0.942	0.058
HIST1H2BL	-0.006	0.895	0.942	0.058
RGS11	-0.007	0.895	0.942	0.058
PTPRA	-0.015	0.895	0.942	0.058
FAM21B	-0.015	0.895	0.942	0.058
SFXN2	-0.022	0.895	0.942	0.058
CIB3	-0.023	0.895	0.942	0.058
TPSAB1	-0.024	0.895	0.942	0.058
MSTO1	-0.026	0.897	0.943	0.057
BPNT1	-0.027	0.897	0.943	0.057
ACAD9	-0.027	0.897	0.943	0.057
SLC22A18	-0.029	0.897	0.943	0.057
WFDC10B	-0.031	0.897	0.943	0.057
SQSTM1	-0.033	0.897	0.943	0.057
PCGF5	-0.034	0.897	0.943	0.057
CERS2	-0.034	0.897	0.943	0.057
ZNF394	-0.035	0.897	0.943	0.057
PAPD4	-0.041	0.897	0.943	0.057
ARHGAP33	-0.041	0.897	0.943	0.057
C1QTNF4	-0.042	0.897	0.943	0.057
ITGA8	-0.043	0.897	0.943	0.057
KRTCAP2	-0.045	0.897	0.943	0.057
CNNM1	-0.049	0.897	0.943	0.057
TIPRL	-0.050	0.897	0.943	0.057
MLNR	-0.055	0.897	0.943	0.057
EN2	-0.056	0.897	0.943	0.057
NFIB	-0.056	0.897	0.943	0.057
ZNF839	-0.058	0.897	0.943	0.057
CD40	-0.060	0.897	0.943	0.057
SLC6A7	-0.061	0.897	0.941	0.059
ATP6AP1	-0.069	0.897	0.941	0.059
POLH	-0.070	0.897	0.941	0.059
BCL2L1	-0.074	0.897	0.941	0.059
FBLIM1	-0.077	0.897	0.941	0.059
PLAC9	-0.081	0.897	0.941	0.059
GRIN3A	-0.083	0.897	0.941	0.059
SMIM7	-0.085	0.897	0.941	0.059
NEO1	-0.087	0.897	0.941	0.059
MCOLN2	-0.088	0.897	0.941	0.059
PEBP1	-0.089	0.897	0.941	0.059
VRTN	-0.091	0.897	0.939	0.061
SP1	-0.095	0.897	0.939	0.061
C20orf96	-0.096	0.897	0.939	0.061
ARL13B	-0.097	0.897	0.939	0.061
DHODH	-0.098	0.898	0.940	0.060
TRIP11	-0.101	0.898	0.940	0.060
C1orf177	-0.101	0.898	0.940	0.060
NUP107	-0.102	0.898	0.940	0.060
AGRP	-0.106	0.898	0.940	0.060
ATHL1	-0.108	0.898	0.940	0.060
SPRYD3	-0.111	0.898	0.940	0.060
HADHA	-0.112	0.898	0.940	0.060
MRPL33	-0.114	0.898	0.940	0.060
YEATS2	-0.115	0.898	0.940	0.060
SELO	-0.119	0.898	0.940	0.060
HTR3B	-0.122	0.898	0.940	0.060
ZCCHC8	-0.122	0.898	0.940	0.060
BOC	-0.123	0.898	0.940	0.060
PPP4R2	-0.125	0.898	0.940	0.060
FER1L6	-0.129	0.898	0.940	0.060
AAK1	-0.133	0.898	0.940	0.060
ZNF594	-0.133	0.898	0.940	0.060
PMS2	-0.135	0.898	0.940	0.060
CYP11B2	-0.138	0.898	0.938	0.062
SLC9A3	-0.139	0.898	0.938	0.062
ARHGEF17	-0.141	0.898	0.938	0.062
ABCB8	-0.142	0.898	0.938	0.062
UTP6	-0.144	0.898	0.938	0.062
CNEP1R1	-0.145	0.898	0.938	0.062
SYT11	-0.148	0.898	0.938	0.062
KIAA1467	-0.149	0.898	0.938	0.062
NTAN1	-0.149	0.898	0.938	0.062
SMG9	-0.150	0.898	0.938	0.062
SNX29	-0.151	0.898	0.938	0.062
SS18	-0.152	0.898	0.938	0.062
NKRF	-0.152	0.898	0.938	0.062
MRPS5	-0.159	0.898	0.938	0.062
TRIQK	-0.160	0.898	0.938	0.062
OR4A5	-0.164	0.898	0.938	0.062
CCL27	-0.165	0.898	0.938	0.062
C4BPB	-0.175	0.898	0.938	0.062
SREBF1	-0.180	0.898	0.938	0.062
ARL2BP	-0.181	0.898	0.938	0.062
DARS2	-0.181	0.898	0.938	0.062
DAG1	-0.185	0.898	0.938	0.062
PTGES3L-AARSD1	-0.186	0.898	0.938	0.062
YY1	-0.187	0.898	0.938	0.062
CDC42BPG	-0.193	0.898	0.938	0.062
LAMTOR5	-0.195	0.898	0.938	0.062
HERC2	-0.195	0.898	0.938	0.062
OR2A14	-0.196	0.898	0.938	0.062
C10orf76	-0.199	0.898	0.938	0.062
ATAT1	-0.200	0.898	0.938	0.062
MRPL27	-0.200	0.898	0.938	0.062
PLIN5	-0.200	0.898	0.938	0.062
NPL	-0.200	0.898	0.938	0.062
LILRA4	-0.200	0.898	0.938	0.062
CTBP2	-0.203	0.898	0.938	0.062
SIMC1	-0.206	0.898	0.938	0.062
IGLON5	-0.209	0.898	0.938	0.062
FERMT3	-0.209	0.898	0.938	0.062
TXN	-0.210	0.900	0.938	0.062
SPECC1L	-0.211	0.900	0.938	0.062
GLI1	-0.211	0.900	0.938	0.062
SRRM2	-0.212	0.900	0.938	0.062
CASS4	-0.214	0.900	0.938	0.062
MPPED2	-0.215	0.900	0.938	0.062
SEH1L	-0.218	0.902	0.938	0.062
ITSN1	-0.226	0.902	0.938	0.062
BCL6B	-0.227	0.902	0.938	0.062
MYBL2	-0.229	0.902	0.938	0.062
HIST2H2AC	-0.229	0.902	0.938	0.062
MED22	-0.230	0.902	0.938	0.062
PF4	-0.234	0.902	0.938	0.062
VCL	-0.241	0.902	0.938	0.062
PPWD1	-0.244	0.903	0.938	0.062
MXRA7	-0.245	0.903	0.938	0.062
VPS37D	-0.248	0.903	0.938	0.062
BTAF1	-0.249	0.903	0.938	0.062
EXOC2	-0.251	0.903	0.938	0.062
VASP	-0.252	0.903	0.938	0.062
MRPS15	-0.255	0.903	0.938	0.062
ETV7	-0.256	0.903	0.938	0.062
NDUFAF3	-0.257	0.903	0.938	0.062
EIF2S1	-0.259	0.905	0.938	0.062
RBFA	-0.259	0.905	0.938	0.062
COG8	-0.260	0.905	0.938	0.062
PDCD2L	-0.261	0.905	0.938	0.062
GNPDA1	-0.265	0.905	0.938	0.062
SRD5A1	-0.265	0.905	0.938	0.062
TP53TG5	-0.270	0.905	0.938	0.062
FAM160B1	-0.277	0.905	0.938	0.062
LEP	-0.277	0.905	0.938	0.062
VKORC1L1	-0.279	0.905	0.938	0.062
ADH5	-0.280	0.905	0.938	0.062
SLC12A3	-0.280	0.905	0.938	0.062
CEP152	-0.281	0.905	0.938	0.062
CCDC69	-0.283	0.905	0.938	0.062
TRAPPC13	-0.283	0.905	0.938	0.062
HEBP1	-0.288	0.905	0.938	0.062
CNTNAP3	-0.288	0.905	0.938	0.062
PPIA	-0.298	0.905	0.938	0.062
USP3	-0.300	0.905	0.938	0.062
CCNT1	-0.300	0.905	0.938	0.062
PEG10	-0.301	0.905	0.938	0.062
CAPRIN1	-0.302	0.905	0.938	0.062
NFE2	-0.305	0.905	0.938	0.062
C19orf73	-0.306	0.905	0.938	0.062
ZNF213	-0.311	0.905	0.938	0.062
ACLY	-0.313	0.905	0.938	0.062
ZNF277	-0.315	0.905	0.938	0.062
MRPL40	-0.316	0.905	0.938	0.062
PURG	-0.316	0.905	0.938	0.062
NAMPT	-0.319	0.906	0.939	0.061
VPS4A	-0.322	0.906	0.939	0.061
NAB2	-0.323	0.906	0.939	0.061
EIF6	-0.328	0.908	0.939	0.061
GNMT	-0.331	0.908	0.939	0.061
BRMS1	-0.334	0.908	0.939	0.061
LIPE	-0.336	0.908	0.939	0.061
ZSCAN21	-0.340	0.908	0.939	0.061
IL27RA	-0.340	0.908	0.939	0.061
CITED2	-0.340	0.908	0.939	0.061
FBXO5	-0.344	0.908	0.939	0.061
ERGIC2	-0.346	0.908	0.939	0.061
FAM151B	-0.352	0.908	0.939	0.061
DONSON	-0.354	0.909	0.939	0.061
TAF12	-0.357	0.909	0.939	0.061
CNNM3	-0.362	0.909	0.939	0.061
TMEM170B	-0.372	0.909	0.939	0.061
UBQLN4	-0.375	0.909	0.939	0.061
PPP1R14B	-0.375	0.909	0.939	0.061
SPN	-0.380	0.909	0.939	0.061
NPR2	-0.380	0.909	0.939	0.061
ZNF532	-0.381	0.909	0.939	0.061
TGFBRAP1	-0.382	0.909	0.939	0.061
SPOCK2	-0.384	0.909	0.939	0.061
AAAS	-0.386	0.909	0.939	0.061
OSBPL5	-0.391	0.909	0.939	0.061
ERH	-0.391	0.911	0.939	0.061
FUT6	-0.393	0.911	0.939	0.061
KCNIP2	-0.394	0.911	0.939	0.061
WBP1L	-0.400	0.911	0.939	0.061
PIGM	-0.401	0.911	0.939	0.061
ITFG2	-0.403	0.911	0.939	0.061
COPS2	-0.404	0.911	0.939	0.061
AMFR	-0.407	0.911	0.939	0.061
FAM213A	-0.409	0.911	0.939	0.061
HIST1H2BI	-0.413	0.911	0.939	0.061
ZFC3H1	-0.415	0.911	0.939	0.061
CARD9	-0.416	0.911	0.939	0.061
RFC4	-0.416	0.912	0.939	0.061
TMEM223	-0.416	0.912	0.939	0.061
UPF3A	-0.417	0.912	0.939	0.061
KPNA4	-0.423	0.912	0.939	0.061
ATP5G1	-0.424	0.912	0.939	0.061
CDAN1	-0.425	0.912	0.939	0.061
TPR	-0.425	0.912	0.939	0.061
CDH10	-0.426	0.912	0.939	0.061
SNAI1	-0.427	0.912	0.939	0.061
MARC2	-0.428	0.912	0.939	0.061
ACD	-0.432	0.912	0.939	0.061
YLPM1	-0.434	0.912	0.939	0.061
SHBG	-0.435	0.912	0.939	0.061
OR4D1	-0.439	0.912	0.937	0.063
FAM115C	-0.443	0.912	0.937	0.063
FOS	-0.443	0.912	0.937	0.063
PPP1R9A	-0.445	0.912	0.937	0.063
RBM43	-0.447	0.912	0.937	0.063
TRMT10C	-0.448	0.912	0.937	0.063
ZNF202	-0.453	0.912	0.937	0.063
ZNF606	-0.457	0.912	0.937	0.063
HBEGF	-0.457	0.912	0.937	0.063
DCAF12	-0.457	0.912	0.937	0.063
FAM185A	-0.464	0.912	0.937	0.063
BACE1	-0.465	0.912	0.937	0.063
SIRT7	-0.465	0.912	0.937	0.063
EFCAB7	-0.466	0.912	0.937	0.063
ACBD4	-0.471	0.912	0.937	0.063
SLC4A1AP	-0.475	0.912	0.937	0.063
NOVA2	-0.477	0.912	0.937	0.063
ARHGAP27	-0.479	0.912	0.937	0.063
SLC26A10	-0.481	0.912	0.937	0.063
RP9	-0.485	0.912	0.937	0.063
PALB2	-0.487	0.912	0.937	0.063
POLG2	-0.487	0.912	0.937	0.063
BRAT1	-0.487	0.912	0.937	0.063
FAM222A	-0.490	0.912	0.937	0.063
C3orf22	-0.490	0.912	0.937	0.063
C1QTNF8	-0.493	0.912	0.937	0.063
TMEM25	-0.494	0.912	0.937	0.063
YJEFN3	-0.494	0.912	0.937	0.063
OR4S1	-0.502	0.912	0.937	0.063
P2RY11	-0.507	0.912	0.937	0.063
C1orf146	-0.508	0.912	0.936	0.064
C5orf63	-0.510	0.912	0.936	0.064
ACVR2B	-0.514	0.912	0.936	0.064
TAS2R14	-0.515	0.912	0.936	0.064
GCGR	-0.515	0.912	0.936	0.064
TRPT1	-0.516	0.912	0.936	0.064
GZF1	-0.518	0.912	0.936	0.064
OSTC	-0.518	0.912	0.936	0.064
CABP5	-0.519	0.912	0.934	0.066
DNAJB1	-0.522	0.912	0.934	0.066
VHLL	-0.525	0.912	0.933	0.067
TRAP1	-0.525	0.912	0.933	0.067
HPCA	-0.526	0.912	0.933	0.067
CCDC47	-0.530	0.912	0.933	0.067
MAST2	-0.530	0.912	0.933	0.067
GRIN3B	-0.531	0.912	0.933	0.067
TMEM167A	-0.535	0.912	0.933	0.067
PLEKHG6	-0.539	0.912	0.933	0.067
FDX1	-0.539	0.912	0.933	0.067
LARP6	-0.540	0.912	0.933	0.067
ENTPD5	-0.542	0.912	0.933	0.067
KAT2A	-0.543	0.912	0.933	0.067
ACY1	-0.546	0.912	0.933	0.067
TTC3	-0.553	0.912	0.933	0.067
ATR	-0.553	0.914	0.933	0.067
GID4	-0.555	0.914	0.933	0.067
NAP1L1	-0.556	0.914	0.933	0.067
SLC31A1	-0.558	0.914	0.933	0.067
C11orf88	-0.560	0.914	0.933	0.067
NR2F1	-0.564	0.914	0.933	0.067
GLIPR1L2	-0.566	0.914	0.933	0.067
MTRNR2L6	-0.568	0.914	0.933	0.067
CDHR4	-0.569	0.914	0.933	0.067
CCDC86	-0.570	0.914	0.933	0.067
DDX1	-0.570	0.914	0.933	0.067
CEACAM6	-0.572	0.914	0.933	0.067
CHMP6	-0.574	0.916	0.933	0.067
ATXN10	-0.574	0.916	0.933	0.067
C19orf55	-0.583	0.916	0.933	0.067
ACSL3	-0.583	0.916	0.933	0.067
CD2BP2	-0.584	0.916	0.933	0.067
TBRG4	-0.585	0.916	0.933	0.067
ZMIZ2	-0.586	0.916	0.933	0.067
MCM9	-0.588	0.916	0.933	0.067
SLC12A2	-0.589	0.916	0.933	0.067
HSPB1	-0.591	0.916	0.933	0.067
POLE4	-0.591	0.916	0.933	0.067
NUAK1	-0.593	0.916	0.933	0.067
MIS12	-0.595	0.916	0.933	0.067
PRR14	-0.596	0.916	0.933	0.067
EPS15L1	-0.598	0.916	0.933	0.067
NEIL1	-0.599	0.916	0.933	0.067
CBLN1	-0.605	0.916	0.933	0.067
USP42	-0.605	0.916	0.933	0.067
RAPGEF3	-0.608	0.916	0.933	0.067
HSD11B1L	-0.610	0.916	0.933	0.067
SRM	-0.616	0.916	0.933	0.067
HES7	-0.616	0.916	0.933	0.067
IMMT	-0.616	0.916	0.933	0.067
KBTBD2	-0.618	0.916	0.933	0.067
GALNTL5	-0.626	0.916	0.932	0.068
MKLN1	-0.626	0.916	0.932	0.068
SOCS3	-0.628	0.916	0.932	0.068
CCDC27	-0.630	0.916	0.932	0.068
NLRC5	-0.631	0.916	0.932	0.068
ROPN1	-0.631	0.916	0.932	0.068
CAPN1	-0.634	0.916	0.932	0.068
WDR54	-0.634	0.916	0.932	0.068
CNTROB	-0.635	0.916	0.932	0.068
REEP3	-0.636	0.916	0.932	0.068
TTC24	-0.639	0.916	0.932	0.068
CCDC63	-0.639	0.916	0.932	0.068
CYP27B1	-0.639	0.916	0.932	0.068
TADA3	-0.640	0.916	0.932	0.068
UBALD1	-0.640	0.916	0.932	0.068
AQPEP	-0.642	0.916	0.932	0.068
DPPA3	-0.643	0.916	0.932	0.068
CEACAM1	-0.649	0.916	0.932	0.068
PISD	-0.654	0.916	0.932	0.068
C9orf40	-0.655	0.916	0.932	0.068
E2F6	-0.661	0.916	0.932	0.068
HADHB	-0.662	0.916	0.932	0.068
BAD	-0.668	0.916	0.932	0.068
ATRX	-0.670	0.916	0.932	0.068
SAPCD2	-0.671	0.916	0.932	0.068
LRIG2	-0.676	0.916	0.932	0.068
RGL2	-0.677	0.916	0.932	0.068
IRF9	-0.683	0.916	0.932	0.068
LGALS9B	-0.684	0.916	0.932	0.068
METAP2	-0.685	0.916	0.932	0.068
FBXL18	-0.688	0.916	0.932	0.068
LRRC15	-0.691	0.916	0.932	0.068
SCIN	-0.692	0.916	0.932	0.068
TIMM50	-0.694	0.916	0.932	0.068
LRRC14B	-0.695	0.916	0.932	0.068
SRSF2	-0.700	0.917	0.932	0.068
MKI67	-0.702	0.917	0.932	0.068
TMED9	-0.703	0.917	0.932	0.068
FAM136A	-0.705	0.917	0.932	0.068
ACAT1	-0.708	0.917	0.932	0.068
ANKRD24	-0.709	0.917	0.932	0.068
SNAPIN	-0.711	0.917	0.932	0.068
RAB25	-0.712	0.917	0.932	0.068
CCNB2	-0.716	0.917	0.932	0.068
FAM86A	-0.716	0.917	0.932	0.068
FANCL	-0.718	0.917	0.932	0.068
BTNL8	-0.719	0.917	0.932	0.068
PRMT7	-0.722	0.917	0.932	0.068
MSL3	-0.722	0.917	0.932	0.068
BCAR1	-0.724	0.917	0.932	0.068
TECTB	-0.724	0.917	0.932	0.068
MRRF	-0.727	0.917	0.932	0.068
IFNGR2	-0.734	0.917	0.932	0.068
C1orf64	-0.735	0.917	0.932	0.068
PDE8B	-0.738	0.917	0.932	0.068
LSP1	-0.739	0.917	0.932	0.068
RSRC1	-0.741	0.917	0.932	0.068
FICD	-0.744	0.917	0.932	0.068
CREB1	-0.744	0.917	0.932	0.068
HMGA1	-0.748	0.917	0.932	0.068
PARP8	-0.749	0.917	0.932	0.068
PRICKLE4	-0.750	0.917	0.932	0.068
VAPA	-0.753	0.917	0.932	0.068
PHAX	-0.753	0.917	0.932	0.068
CCDC43	-0.754	0.917	0.932	0.068
RNF41	-0.756	0.917	0.932	0.068
NSL1	-0.763	0.917	0.932	0.068
KDM4D	-0.764	0.917	0.932	0.068
ZFP91	-0.764	0.917	0.932	0.068
C1RL	-0.765	0.917	0.932	0.068
SLC35D3	-0.765	0.917	0.932	0.068
COMMD7	-0.766	0.917	0.932	0.068
THAP11	-0.766	0.917	0.932	0.068
SIRT3	-0.770	0.917	0.932	0.068
C16orf98	-0.771	0.917	0.932	0.068
CD207	-0.775	0.917	0.932	0.068
C10orf118	-0.776	0.917	0.932	0.068
SLC27A5	-0.778	0.917	0.932	0.068
ACSM4	-0.780	0.917	0.932	0.068
FGFR1OP	-0.781	0.917	0.932	0.068
C3orf84	-0.783	0.917	0.932	0.068
TNNI3K	-0.784	0.917	0.932	0.068
WNT4	-0.785	0.917	0.932	0.068
IGSF3	-0.786	0.917	0.932	0.068
KRTAP13-3	-0.786	0.917	0.930	0.070
NOTUM	-0.787	0.917	0.930	0.070
ZNF8	-0.793	0.917	0.930	0.070
OR51I2	-0.794	0.917	0.930	0.070
HORMAD1	-0.795	0.917	0.930	0.070
MAP4K1	-0.796	0.917	0.930	0.070
MS4A15	-0.797	0.917	0.930	0.070
FAM175A	-0.798	0.917	0.930	0.070
PAAF1	-0.801	0.917	0.930	0.070
C1orf53	-0.802	0.917	0.930	0.070
VEPH1	-0.802	0.917	0.930	0.070
EIF2A	-0.803	0.917	0.930	0.070
C1QTNF1	-0.803	0.917	0.930	0.070
APOBR	-0.804	0.917	0.930	0.070
CYP3A5	-0.806	0.917	0.930	0.070
DNPH1	-0.810	0.917	0.930	0.070
YARS2	-0.810	0.919	0.930	0.070
DCTPP1	-0.813	0.919	0.930	0.070
KIAA0907	-0.813	0.919	0.930	0.070
TGFB2	-0.813	0.919	0.930	0.070
ATXN1L	-0.815	0.919	0.930	0.070
CCT6A	-0.816	0.920	0.930	0.070
ZNF621	-0.817	0.920	0.930	0.070
ARAP1	-0.819	0.920	0.930	0.070
MICALCL	-0.819	0.920	0.930	0.070
NDUFB6	-0.820	0.920	0.930	0.070
C15orf37	-0.822	0.920	0.930	0.070
ZMPSTE24	-0.824	0.920	0.930	0.070
CCS	-0.826	0.920	0.930	0.070
RFFL	-0.827	0.920	0.930	0.070
APOF	-0.829	0.920	0.929	0.071
KCNJ5	-0.830	0.920	0.929	0.071
THUMPD1	-0.833	0.920	0.929	0.071
TOPORS	-0.834	0.920	0.929	0.071
MRPL48	-0.834	0.920	0.929	0.071
SLC4A9	-0.843	0.920	0.929	0.071
C10orf137	-0.846	0.920	0.929	0.071
PPP2R5C	-0.846	0.920	0.929	0.071
NEURL1B	-0.851	0.920	0.929	0.071
NSD1	-0.854	0.920	0.929	0.071
HAPLN2	-0.854	0.920	0.929	0.071
TCEA1	-0.855	0.920	0.929	0.071
TSPAN31	-0.858	0.920	0.929	0.071
AVEN	-0.859	0.920	0.929	0.071
RPAP3	-0.861	0.920	0.929	0.071
FRA10AC1	-0.864	0.920	0.929	0.071
TULP2	-0.865	0.920	0.929	0.071
